key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon_mageD;Содержит самовосполняемые зелья огненного шара.;Contains self-replenishing fireball potions.;;;Contient des potions de boules de feu auto-gonflables.;;;;;包含自我补充的火球药剂。;
1aT;Стрелы драконьего золота;Arrows of dragon gold;;;Fleche en Or Draconique;;;;;金龙箭 ;
1aD;Обжигают руки и плоть врага.;Burn the hands and flesh of the enemy.;;;Brûle les mains et la chair des ennemies;;;;;烧掉敌人的手和肉。;
1mT;Зелья драконьего огня ;Dragon fire potions;;;Potion de feu Draconique;;;;;龙火焰药剂;
1mD;Сколько не выливай а оно льется.;How many do not pour out and it pours.;;;How many do not pour out and it pours.;;;;;能少倒就少倒。;
speciaT;Драконья специя ;Dragon spice;;;Épice draconique;;;;;龙香料;
speciaD;Такая острая что вы начинаете выдыхать пламя!;So sharp that you start to exhale the flames!;;;Tellement épicées que vous en cracherez des flammes!;;;;;辣到喷火！;
burgerT;Гномский Бургер;Dwarf Burger;;;Burger de Nain;;;;;矮人汉堡;
burgerD;Сытный бифштекс гриль, специальный острый соус. листья,коренья,лук. Все на булочке с кунжутом, только так и это Гном-Мак!;Hearty steak grill, special hot sauce. leaves,roots,onions. It's all on a sesame bun, just like that, and it's a dwarf Mac!;;;Steak copieux grillée, sauce piquante spéciale. feuilles racines oignons. Tout est sur un pain de sésame juste comme ça et c’est un Mac nain!,,,,,;;;;;大块的烤牛排，特别的辣酱。叶子，根，洋葱，都放在芝麻面包上，就像那样，这是一个特别的矮人麦当劳汉堡！;
zavtrackT;Завтрак;Breakfast;;;Petit Déjeuner;;;;;早餐;
zavtrackD;Сытно и полезно.;Satisfying and healthy.;;;Satisfaisant et sains;;;;;令人满意且健康。;
dinerT;Обед;Lunch;;;Déjeuner;;;;;午餐;
dinerD;Ломоть хлеба, кусок мяса и пинта тива все что нужно гному чтобы пополнить силы!;A loaf of bread, a piece of meat and a pint of tiva is all it takes to replenish the dwarf's strength!;;;Du pain, un morceau de viande et une pinte de bière, c’est tout ce qu’il faut pour redonner de la force au nain !,;;;;;一块面包、一块肉和一扎啤酒是补充矮人力量所需要的全部！;
uzinpodT;Ужин;Supper;;;Dîner;;;;;晚餐;
uzinpodD;Гном кушать, Гном спать , Гному рано завтра вставать.;Dwarf eat Dwarf to sleep , Dwarf early tomorrow to get up.;;;Le nain mange le nain pour dormir et le nain tôt demain pour se lever.,;;;;;矮人吃饭，矮人睡觉，矮人明天早起.;
uzinT;Ужин;Supper;;;Dîner;;;;;晚餐;
uzinD;Гном кушать, Гном спать , Гному рано завтра вставать.;Dwarf eat Dwarf to sleep , Dwarf early tomorrow to get up.;;;Le nain mange le nain pour dormir et le nain tôt demain pour se lever.,;;;;;矮人吃饭，矮人睡觉，矮人明天早起.;
kashaT;Каша;Porridge;;;Porridge;;;;;粥;
kashaD;Кушай кашку расти большой говорила мне мама. Эх походу гномы растут только в ширь.;Eat porridge grow big my mother told me. Oh hike dwarves only grow in breadth.;;;Ma mère me disait mange du porridge si tu veux grandir, et devenir un nain d'une grande ampleur.;;;;;妈妈告诉我，“要喝粥才能长大”。可惜矮人不能长大，只能长胖。;
smyti_dgT;Драконья кузница;Dragon forge;;;Forge Draconique;;;;;龙锻造炉;
smyti_dgD;Как говорится куй железо пока горячо. А тут тебе ковать придется до смерти!;As they say, strike while the iron is hot. And here you have to forge to death!;;;Comme il est dit frappe le fer quand il est chaud. Et ici vous allez forger jusqu'à la mort!,;;;;; 如他们所说，趁热打铁。在这里你必须锻造到死！;
stanock_dgT;Драконий верстак;Dragon workbench;;;Atelier Draconique;;;;;龙工作台;
stanock_dgD;Если за обычном верстаком гном может повредить палец, то тут он повредить свою психику.;If the usual workbench dwarf may cause damage to the finger, here it damage your psyche.;;;Si l'atelier classique peut causer des blessures aux doigt celui-ci blesse votre âme.,;;;;;一个普通的工作台可能会对矮人的手指造成伤害，但在这里，它会伤害你的精神力。;
lab_dgT;Драконья лаборатория;Dragon laboratory;;;Laboratoire Draconique;;;;;龙实验室;
lab_dgD;Если обычный алхимик думает как превратить воду в золото, то гном алхимик думает как превратить воду в пиво.;If the common alchemist thinks to turn water into gold, the alchemist the dwarf thinks how to turn water into beer.;;;Si l'alchimie de base pense transformer l'eau en Or le nain alchimiste pense à transformer l'eau en bière,;;;;;如果普通的炼金术士想把水变成金子，那么炼金术士矮人想如何把水变成啤酒。;
kuxona_dgT;Драконья печь;Dragon oven;;;Four Draconique;;;;;龙厨房;
kuxona_dgD;Для готовки особо горячих блюд.;For cooking very hot meals.;;;Pour cuisiner des plats très chaud.;;;;;用于烹饪非常热的食物。;
Dragon_bedT;Драконья кровать;Dragon bed;;;Lit Draconique;;;;;龙床;
Dragon_bedD;Теплая кровать,Идеально для сна.;Warm bed, perfect for sleeping.;;;Lit chaud parfait pour dormir.,;;;;;温暖的床，非常适合睡觉。;
Dragon_pictureT;Картина с драконом;Dragon painting;;;Peinture Draconique;;;;;龙油画;
Dragon_pictureD;Картина с изображением дракона.;A painting of a dragon.;;;Une peinture de dragon.;;;;;一幅龙的画作;
Dragon_troneT;new item title;new item title;;;new item title;;;;;;
Dragon_troneD;new item desc;new item desc;;;new item desc;;;;;;
Dragon_tableT;Драконий стол;Dragon table;;;Table Draconique;;;;;龙餐桌;
Dragon_tableD;На нем еда всегда остается теплой.;On it the food is always warm.;;;Sur cette table la nourriturre est toujours chaude.,;;;;;上面的食物总是热的。;
Dragon_lampT;Драконья лампа ;Dragon lamp;;;Lampe Draconique;;;;;龙灯;
Dragon_lampD;Красный свет согревает душу и тело.;Red light warms the body and soul.;;;Une lumière rouge qui réchauffe le corp et l'esprit.;;;;;灯光温暖了身体和灵魂。;
Dragon_woodT;Драконьи доски;Dragon plank;;;Planche Draconique;;;;;龙木板;
Dragon_woodD;Доски из древесины красного дерева.;Boards made of red wood wood.;;;Planche fait en bois rouge.;;;;;用红木做成的木板。;
vitragT;Драконий витраж;Dragon stained glass;;;Vitraux Draconique;;;;;龙彩色玻璃;
vitragD;Если ты думаешь что этот витраж не красивый, то дракон думает что ты очень вкусный.;If you think that this stained glass is not beautiful, the dragon thinks that you are very tasty.;;;Si vous pensez que ces vitraux ne sont pas magnifique les Dragons pense que vous êtes bien appétissant.,;;;;;如果你觉得这个彩色玻璃不够漂亮，龙会认为你很好吃。;
Dragone_bone_staffT;Посох костей гигантов;The staff of the bones of giants;;;Le bâton en os de géants;;;;;巨人骨杖;
Dragone_bone_staffD;Призывает духов гигантов, которые были сожжены драконами в древние времена.;Summons the spirits of giants that were burned by dragons in ancient times.;;;Invoque l'esprit des géants brûler part les dragons dans l'ancien temps.,;;;;;召唤古代被龙焚烧的巨人的灵魂。;
EyeT;Глаз;Eye;Oko;Auge;Oeil;Occhio;Ojo;目玉;눈;眼睛;眼睛
EyeD;Глаз невезучего монстра. Компонент для магических эликсиров.;The eye of an unlucky monster. Used for magic elixirs.;Oko pechowego potwora. Używane do tworzenia magicznych eliksirów.;Das Auge eines glücklosen Monsters. Es wird für Zauberelixiere genutzt.;L'oeil d'un monstre malchanceux. Utiliser pour des elixirs magique.;L’occhio di un mostro sfortunato. Viene utilizzato per gli elisir magici.;El ojo de un monstruo desdichado. Se usa para elaborar elixires mágicos.;不運なモンスターの目玉。魔法の秘薬に使用される。;운 나쁜 몬스터의 눈. 마법 영약에 사용돼요.;来自死亡怪物的眼睛。可以用来制作魔法药剂。看上去怪瘆人的，你盯着它，它也盯着你！;來自死亡怪物的眼睛。可以用來製作魔法藥劑。看上去怪瘮人的，你盯著它，它也盯著你！
GreyMushroomT;Серый гриб;Grey Mushroom;Zielony grzyb;Grauer Pilz;Champignon Marron;Fungo grigio;Seta gris;灰色のキノコ;회색 버섯;灰色蘑菇;灰色蘑菇
GreyMushroomD;Компонент алхимических эликсиров.;An ingredient of alchemical elixirs.;Składnik alchemicznych eliksirów.;Eine Zutat alchemistischer Elixiere.;Ingrédients d'alchimie à élixirs.;Un ingrediente per gli elisir alchemici.;Un ingrediente de elixires alquímicos.;錬金術の秘薬に使う材料;연금술 영약의 재료죠.;炼金药剂的一种原料。;煉金藥劑的一種原料。
PinkMushroomT;Розовый гриб;Pink Mushroom;Różowy grzyb;Rosa Pilz;Champignon Rose;Fungo rosa;Seta rosa;ピンクのキノコ;핑크색 버섯;粉色蘑菇;粉色蘑菇
PinkMushroomD;Компонент алхимических эликсиров.;An ingredient of alchemical elixirs.;Składnik alchemicznych eliksirów.;Eine Zutat alchemistischer Elixiere.;Ingrédients d'alchimie à élixirs.;Un ingrediente per gli elisir alchemici.;Un ingrediente de elixires alquímicos.;錬金術の秘薬に使う材料;연금술 영약의 재료죠.;炼金药剂的一种原料。;煉金藥劑的一種原料。
Dragon_BanerT;Знамя дракона;Dragon banner;;;Bannières de Dragon;;;;;龙旗;
Dragon_BanerD;Это знамя символезирует что вы прошли мод Legacy of the Dragon. Отдельная благодарность Off-is Play. Спасибо за игру.;This banner symbolizes that you have passed the Legacy of the Dragon mod. Special thanks to Off-is Play. Thanks for playing.;;;Cette bannières symbolise que vous avez finis le mod Legacy of the Dragon.  Special thanks to Off-is Play. Merci d'avoir jouer!;;;;;这个旗帜意味着你已经通关了the Legacy of the Dragon这个模组。感谢游玩。;
Liq_fireT;Жидкий огонь;Liquid fire;;;Feu liquide;;;;;液体燃料;
Liq_fireD;Жидкий как вода, горячий как огонь.;Liquid as water, hot as fire.;;;Liquide comme l'eau brûlant comme le feu.,;;;;;像水一样的液体，像火一样的热。;
Dragon_brickT;Драконий кирпич;Dragon brick;;;Brique Draconique;;;;;龙砖;
Dragon_brickD;Теплые кирпичи для теплого дома.;Warm bricks for a warm home.;;;Brique chaude pour une maison chaleureuse;;;;;温暖的砖块，温暖的家。;
Fire_berryT;Драконья ягода;Dragon berry;;;Baie Draconique;;;;;龙浆果;
Fire_berryD;Сладкие ,Теплые и Полезные.;Sweet, Warm and Useful.;;;Sucré chaud et très utiles.,;;;;;甜蜜、温暖、有用。;
Dragon_wallT;Драконья стена;Dragon wall;;;Mur Draconique;;;;;龙墙;
Dragon_wallD;С такими стенами и печь не нужна.;With such walls, a furnace is not needed.;;;Avec ces mur plus besoin de forge.;;;;;有了这样的墙，就不需要熔炉了。;
door_dragonT;Драконья дверь;Dragon door;;;Porte Draconique;;;;;龙门;
door_dragonD;Горячая ручка!;Hot stuff!;;;Poignée très chaude;;;;;热~辣~滚~烫~;
hatch_dragonT;Драконий люк;Dragon hatch;;;Trappe Draconique;;;;;龙外门;
hatch_dragonD;Им можно и вулкан закрыть.;They can close the volcano.;;;On peut fermer un volcan avec.;;;;;可以关闭如火山一样的房屋门口;
Dragon_arch_towerT;Драконий самострел;Dragon crossbow;;;Tour de défense Draconique;;;;;龙弩炮;
Dragon_arch_towerD;Сильнейшая защита вашего дома.;The strongest protection of your home.;;;La meilleur protection pour votre maison;;;;;对你家最有力的保护。;
Dragon_vineT;Драконье вино;Dragon wine;;;Vin Draconique;;;;;龙酒;
Dragon_vineD;Греет тело и душу , а также поднимает боевой дух!;Heats the body and soul, and also raises the fighting spirit!;;;Réchauffe le corp et l'âme et réveil l'esprit combatif!,;;;;;温暖身体和灵魂，也提高战斗精神！;
treasur_chest_dragonT;Сундук с сокровищами;Treasure chest;;;Coffre aux trésors;;;;;宝箱;
treasur_chest_dragonD;Сундук с сокровищами по любому лучше чем сундук с гномской одежды.;A treasure chest is any better than a chest of gnomish clothes.;;;Un coffre aux trésors bien mieux qu'un coffre avec des vêtements de gnome.,;;;;;一个宝箱比一箱矮人的衣服要好得多。;
Dragon_treasurT;Драконьи сокровища;Dragon treasures;;;Trésor Draconique;;;;;龙的珍宝;
Dragon_treasurD;Для дракона нет лучше мебели чем гора сокровищ.;There is no better furniture for a dragon than a mountain of treasures.;;; Il n'y as pas meilleur meuble pour un dragon qu'une moutagne de trésor;;;;;对于一条龙来说，没有比一座宝山更好的家具了。;
Dragon_mana_elexirT;Драконий эликсир маны;Dragon Elixir of Mana;;;Élixir de Mana Draconique;;;;;魔法药剂;
Dragon_mana_elexirD;Эликсир восполняющий значительный запас маны.;Elixir replenishing a significant supply of mana.;;;Un élixir qui remplit une grande quantité de mana.;;;;;回复大量的魔法;
Dragon_heal_elexirT;Драконий эликсир здоровья;Dragon Elixir of Health;;;Élixir de Vie Draconique;;;;;生命药剂;
Dragon_heal_elexirD;Может для гнома это панацея, но для дракона всего лишь мекстура от кашля.;Maybe it’s a panacea for a gnome, but for a dragon, it’s just a cough treatment.;;;Peut-être la solution miracle pour un nain mais pour un dragon c'est un traitement pour le rhume.,,;;;;;也许这是矮人的灵丹妙药，但对龙来说，这只是一种咳嗽疗法。;
Dragon_libT;Драконья библиотека;Dragon library;;;Bibliotèque Draconique;;;;;龙图书馆;
Dragon_libD;Драконы не очень любили писать книги, зато очень любили писать в них о своих богатсвах.;Dragons did not really like to write books, but they loved to write in them about their wealth.;;;Les Dragons n'aime pas vraiment écrire des livres mais ils adores écrire à propos de leur richesses.,;;;;;龙并不是真的喜欢写书，而是他们喜欢在书中写下有关它们的财富的信息。;
dragon_eyeT;Драконий глаз;Dragon eye;;;Oeil Draconique;;;;;龙眼;
dragon_eyeD;Я до сих пор чувствую его испепеляющий взгляд!;I still feel his sizzling look!;;;Je peux encore ressentir son regard menacant!;;;;;“我仍然能感觉到他那火辣辣的表情！”;
archer_master_bT;Драконья книга Лучника;Dragon Book of Archer Mastery;;;Livre Draconique pour Maître Archer;;;;;龙弓箭手手册;
archer_master_bD;К сожалению в ней не написано как стрелять огнем изо рта.;Unfortunately, it does not say how to shoot fire from the mouth.;;;Malheureusement  il nous vous apprendras pas à cracher des flammes avec vôtre bouche,;;;;;不幸的是，它并没有说明如何从嘴里开枪。;
Run_lerning_kitT;Набор для изучения рун;Runic Learning Kit;;;Kit d'apprentisage runic;;;;;符文包;
Run_lerning_kitD;В древних рунах записаны тайны, давно забытой цивилизации дракона людей.;In the ancient runes are recorded the secrets of the long-forgotten civilization of the dragon people.;;;Dans ces anciennes runes est inscrit le secret oubliées de la civilisation draconniene.;;;;;古老的符文记录了龙族早已被遗忘的文明的秘密。;
miner_master_bT;Драконья книга  шахтера;Dragon Book Skill Miner;;;Livre Draconique pour Maître Miner;;;;;龙采矿手册;
miner_master_bD;Инструкция по выкапыванию вулкана;Volcano Digging Instructions;;;Manuel pour forage volcanique;;;;;关于如何挖掘一座火山的学习手册。;
hunter_master_bT;Драконья книга охотника;Dragon Book Skill Hunter;;;Livre Draconique Maître Chasseur;;;;;龙狩猎手册;
hunter_master_bD;Теперь ты будешь звать как освежевать василиска.;Now you will call how to refresh the basilisk.;;;Maintenant tu vas nous dire comment invoquer le Basilic.,;;;;;现在你知道如何召唤一只蛇怪了。;
rock_master_bT;Драконья книга скалолаза;Dragon Climbing Skill Book;;;Livre Draconique Maître Grimpeur;;;;;龙攀岩手册;
rock_master_bD;Теперь ты можешь забраться на самую высокую гору.;Now you can climb the highest mountain.;;;Maintenant tu peux grimper la plus haute montagne.;;;;;现在你可以爬上最高的山峰了。;
wave_master_bT;Драконья книга пловца;Dragon Book Swimmer Skill;;;Livre Draconique Maître Nageur;;;;;龙游泳手册;
wave_master_bD;Удачи переплыть море.;Good luck to cross the sea.;;;Bonne chance pour travers l'océan;;;;;祝你横渡大海好运。;
mill_master_bT;Драконья книга мельника;Dragon Book Miller Skill;;;Livre Draconique Maître Meunier;;;;;龙碾磨手册;
mill_master_bD;Сделать муку и перемолоть кости врагов.;Make flour and grind the bones of enemies.;;;Faire de la farine et broyer les os des ennemies;;;;;制造面粉，磨碎敌人的骨头。;
axe_master_bT;Драконья книга лесоруб;Dragon book skill lumberjack;;;Livre Draconique Maître Bûcheron;;;;;龙伐木手册;
axe_master_bD;Сруби дерево и переруби шею врага.;Chop down the tree and chop the neck of the enemy.;;;Abattez les arbres et coupez le cou de l'ennemi.;;;;;砍倒那棵树，砍掉敌人的脖子。;
cooking_master_bT;Драконья книга  кулинара;Dragon Book Cooking Mastery;;;Livre Draconique Maître Cuisiner;;;;;龙烹饪手册;
cooking_master_bD;Феникс с печеными яблоками, пальчики оближешь.;Phoenix with baked apples, lick your fingers.;;;Le phoenix lèche tes doigts avec ces pommes cuites;;;;;凤凰烤苹果，馋到舔手指。;
fish_master_bT;Драконья книга рыбака ;Dragon Book Fishermanship;;;Livre Draconique Maître Pêcher;;;;;龙钓鱼手册;
joiner_master_bT;Драконья книга  плотника;Dragon Book Carpenter Skill;;;Livre Draconique Maître Charpentier;;;;;龙木匠手册;
joiner_master_bD;Оказывается из дерева можно сделать столько чудесных предметов.;It turns out that you can make so many wonderful objects from wood.;;;Transforme le bois en plein de merveilleux objets.;;;;;事实证明，你可以用木头制作出这么多奇妙的东西。;
magick_master_bT;Драконья книга мага;Dragon book skill of the magician;;;Livre Draconique Maître Sorcier;;;;;龙法师手册;
magick_master_bD;Магия способная повернуть время вспять.;Magic is able to turn back the clock.;;;Cette magie est capable de remonter le temps.;;;;;魔法能让时光倒流。;
smith_master_bT;Драконья книга кузнеца;Dragon Book Blacksmith Skill;;;Livre Draconique Maître forgeron;;;;;龙锻造手册;
smith_master_bD;Молотом по наковальни, молотом мо мечу, молотом по лецу твоего врага.;Hammer on the anvil, hammer on my sword, hammer on the face of your enemy.;;;Un coup de marteau sur l'enclume un coup de marteau sur l'épée  et un coup de marteau sur la tête de mes ennemies,,;;;;;锤在铁砧上，锤在我的剑上，锤在你敌人的脸上。;
stone_master_bT;Драконья книга камнетеса;Dragon Book Skill Stone Worker;;;Livre Draconique Maître Tailleur de Pierre;;;;;龙石匠手册;
stone_master_bD;Используй гору как холст.;Use the mountain as a canvas.;;;Une montagne en guise de toile.;;;;;把这座山当作画布。;
sword_man_master_bT;Драконья книга мастерство воина;Dragon Book Warrior Skill;;;Livre Draconique Maître Guerrier;;;;;龙战士手册;
sword_man_master_bD;Лучшие воины своего времени писали эту книгу.;The best warriors of their time wrote this book.;;;Le meilleur des guerriers de tout les temps à écrit ce livre.;;;;;它们那个时代最好的战士写了这本书。;
dragon_templ_blockT;Стена драконьего храма;Dragon Temple Wall;;;Mur du Temple du Dragon;;;;;龙庙墙;
dragon_templ_blockD;Сделай свой маленький древних храм.;Make your little ancient temple.;;;Faite votre petit temple ancien.;;;;;建造你的古庙。;
fish_master_bD;Поймай кракена!;Catch the Kraken!;;;Attrape le Kraken!;;;;;抓住海怪！;
Dragon_helm_lvl2T;Драконий шлем;Dragon helm;;;Casque Draconique Amélioré;;;;;龙头盔;
Dragon_helm_lvl2D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;Émane de la chaleur comme celle de la bouche d'un dragon.;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样.;
Dragon_helm_lvl3T;Драконий шлем;Dragon helm;;;Casque Draconique Supérieur;;;;;龙头盔;
Dragon_helm_lvl3D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;Émane de la chaleur comme celle de la bouche d'un dragon.;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样.;
Dragon_armor_lvl2T;Драконья броня;Dragon Armor;;;Armure Draconique Amélioré;;;;;龙鳞铠;
Dragon_armor_lvl2D;Согреет лучше любой шубы.;Warm better than any coat.;;;Warm better than any coat.;;;;;比任何衣服都要温暖;
Dragon_armor_lvl3T;Драконья броня;Dragon Armor;;;Armure Draconiqe Supérieur;;;;;龙鳞铠;
Dragon_armor_lvl3D;Согреет лучше любой шубы.;Warm better than any coat.;;;Warm better than any coat.;;;;;比任何衣服都要温暖;
Dragon_boots_lvl2T;Драконьи ботинки;Dragon boots;;;Bottes Draconique Amélioré;;;;;龙靴;
Dragon_boots_lvl2D;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;Laisse derrière soit une traînée de cendres.;;;;;行走后留下一堆灰烬。;
Dragon_boots_lvl3T;Драконьи ботинки;Dragon boots;;;Bottes Draconique Supérieur;;;;;龙靴;
Dragon_boots_lvl3D;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;Laisse derrière soit une traînée de cendres.;;;;;行走后留下一堆灰烬。;
Dragon_flamethrowerT;Ручной огнемет;Flamethrower;;;Lance-Flame Draconique;;;;;火焰喷射器;
Dragon_flamethrowerD;Высокотехнологичный огненный хаос в руках воина гнома.;Technologically-advanced flaming chaos in the hands of a warrior dwarf.;;;Un lance-flamme du chaos technologiquement avancé entre les mains d'un nain guerrier.;;;;;高科技的混乱火焰掌握在矮人战士手中。;
Dragon_sword_soul_reaperT;Жнец душ;Soul Reaper;;;Faucheuse d'âmes;;;;;灵魂收割者;
Dragon_sword_soul_reaperD;Древнее оружие пустынных жрецов. Наносит повышенный урон нежити, отрезая нити, привязывающие неупокоенных к нашему миру.;An ancient weapon of the desert priests. Deals increased damage against the undead, severing the string that holds them to our world.;;;Une ancienne arme des prêtres du désert. Inflige des dommages accrus contre les morts-vivants  coupant la corde qui les tient à notre monde.,;;;;;沙漠牧师的古老武器。对亡灵造成更大的伤害，切断他们与我们世界的联系。;
Dragon_enchanting_kristelT;Сильный кристалл зачарования;Strong crystal of enchantment;;;Puissant cristal d'enchantement;;;;;强大的魔法水晶;
Dragon_enchanting_kristelD;Сильно улучшает ваши предметы.;Greatly improves your items.;;;Améliore grandement vos objets.;;;;;极大的改善你的物品。;
Dragon_enchanting_kristel_lowT;Кристалл зачарования;Crystal of enchantment;;;Cristal d'enchantement;;;;;魔法水晶;
Dragon_enchanting_kristel_lowD;Улучшает ваши предметы.;Improves your items.;;;Améliore vos objets.;;;;;改善你的物品。;
;;;;;;;;;;;
thunderbolt_bow_dragonT;Драконий лук-громобой;Dragon thunderbolt Bow;Łuk Grom;Blitzbogen;Arc de foudre Draconique;Arco del fulmine;Arco de rayo;稲妻の弓;천둥번개 활;龙霹雳弓;雷神之弓
thunderbolt_bow_dragonD;Лук, стреляющий молниями на большие расстояния.;This bow shoots lightning bolts a long distance.;;;Cet arc lance des éclairs sur une longue distance.;;;;;这把弓能远距离射出闪电。;
tunder_bolt_dragonT;Драконья шаровая молния;Dragon tunder bolt;;;Fléches de foudre Draconique;;;;;龙霹雳弓箭筒;
