key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon_BanerD;Это знамя символезирует что вы прошли мод Legacy of the Dragon. Отдельная благодарность Off-is Play. Спасибо за игру.;This banner symbolizes that you have passed the Legacy of the Dragon mod. Special thanks to Off-is Play. Thanks for playing.;;;;;;;;这个旗帜意味着你已经通关了the Legacy of the Dragon这个模组。感谢游玩。;
Liq_fireT;Жидкий огонь;Liquid fire;;;;;;;;液体燃料;
Liq_fireD;Жидкий как вода, горячий как огонь.;Liquid as water, hot as fire.;;;;;;;;像水一样的液体，像火一样的热。;
Dragon_brickT;Драконий кирпич;Dragon brick;;;;;;;;龙砖;
Dragon_brickD;Теплые кирпичи для теплого дома.;Warm bricks for a warm home.;;;;;;;;温暖的砖块，温暖的家。;
Fire_berryT;Драконья ягода;Dragon berry;;;;;;;;龙浆果;
Fire_berryD;Сладкие ,Теплые и Полезные.;Sweet, Warm and Useful.;;;;;;;;甜蜜、温暖、有用。;
Dragon_wallT;Драконья стена;Dragon wall;;;;;;;;龙墙;
Dragon_wallD;С такими стенами и печь не нужна.;With such walls, a furnace is not needed.;;;;;;;;有了这样的墙，就不需要熔炉了。;
door_dragonT;Драконья дверь;Dragon door;;;;;;;;龙门;
door_dragonD;Горячая ручка!;Hot stuff!;;;;;;;;热~辣~滚~烫~;
hatch_dragonT;Драконий люк;Dragon hatch;;;;;;;;龙外门;
hatch_dragonD;Им можно и вулкан закрыть.;They can close the volcano.;;;;;;;;可以关闭如火山一样的房屋门口;
Dragon_arch_towerT;Драконий самострел;Dragon crossbow;;;;;;;;龙弩炮;
Dragon_arch_towerD;Сильнейшая защита вашего дома.;The strongest protection of your home.;;;;;;;;对你家最有力的保护。;
Dragon_vineT;Драконье вино;Dragon wine;;;;;;;;龙酒;
Dragon_vineD;Греет тело и душу , а также поднимает боевой дух!;Heats the body and soul, and also raises the fighting spirit!;;;;;;;;温暖身体和灵魂，也提高战斗精神！;
treasur_chest_dragonT;Сундук с сокровищами;Treasure chest;;;;;;;;宝箱;
treasur_chest_dragonD;Сундук с сокровищами по любому лучше чем сундук с гномской одежды.;A treasure chest is any better than a chest of gnomish clothes.;;;;;;;;一个宝箱比一箱矮人的衣服要好得多。;
Dragon_treasurT;Драконьи сокровища;Dragon treasures;;;;;;;;龙的珍宝;
Dragon_treasurD;Для дракона нет лучше мебели чем гора сокровищ.;There is no better furniture for a dragon than a mountain of treasures.;;;;;;;;对于一条龙来说，没有比一座宝山更好的家具了。;
Dragon_mana_elexirT;Драконий эликсир маны;Dragon Elixir of Mana;;;;;;;;魔法药剂;
Dragon_mana_elexirD;Эликсир восполняющий значительный запас маны.;Elixir replenishing a significant supply of mana.;;;;;;;;回复大量的魔法;
Dragon_heal_elexirT;Драконий эликсир здоровья;Dragon Elixir of Health;;;;;;;;生命药剂;
Dragon_heal_elexirD;Может для гнома это панацея, но для дракона всего лишь мекстура от кашля.;Maybe it’s a panacea for a gnome, but for a dragon, it’s just a cough treatment.;;;;;;;;也许这是矮人的灵丹妙药，但对龙来说，这只是一种咳嗽疗法。;
Dragon_libT;Драконья библиотека;Dragon library;;;;;;;;龙图书馆;
Dragon_libD;Драконы не очень любили писать книги, зато очень любили писать в них о своих богатсвах.;Dragons did not really like to write books, but they loved to write in them about their wealth.;;;;;;;;龙并不是真的喜欢写书，而是他们喜欢在书中写下有关它们的财富的信息。;
dragon_eyeT;Драконий глаз;Dragon eye;;;;;;;;龙眼;
dragon_eyeD;"Я до сих пор чувствую его испепеляющий взгляд!";"I still feel his sizzling look!";;;;;;;;“我仍然能感觉到他那火辣辣的表情！”;
archer_master_bT;Драконья книга Лучника;Dragon Book of Archer Mastery;;;;;;;;龙弓箭手手册;
archer_master_bD;К сожалению в ней не написано как стрелять огнем изо рта.;Unfortunately, it does not say how to shoot fire from the mouth.;;;;;;;;不幸的是，它并没有说明如何从嘴里开枪。;
Run_lerning_kitT;Набор для изучения рун;Runic Learning Kit;;;;;;;;符文包;
Run_lerning_kitD;В древних рунах записаны тайны, давно забытой цивилизации дракона людей.;In the ancient runes are recorded the secrets of the long-forgotten civilization of the dragon people.;;;;;;;;古老的符文记录了龙族早已被遗忘的文明的秘密。;
miner_master_bT;Драконья книга  шахтера;Dragon Book Skill Miner;;;;;;;;龙采矿手册;
miner_master_bD;Инструкция по выкапыванию вулкана;Volcano Digging Instructions;;;;;;;;关于如何挖掘一座火山的学习手册。;
hunter_master_bT;Драконья книга охотника;Dragon Book Skill Hunter;;;;;;;;龙狩猎手册;
hunter_master_bD;Теперь ты будешь звать как освежевать василиска.;Now you will call how to refresh the basilisk.;;;;;;;;现在你知道如何召唤一只蛇怪了。;
rock_master_bT;Драконья книга скалолаза;Dragon Climbing Skill Book;;;;;;;;龙攀岩手册;
rock_master_bD;Теперь ты можешь забраться на самую высокую гору.;Now you can climb the highest mountain.;;;;;;;;现在你可以爬上最高的山峰了。;
wave_master_bT;Драконья книга пловца;Dragon Book Swimmer Skill;;;;;;;;龙游泳手册;
wave_master_bD;Удачи переплыть море.;Good luck to cross the sea.;;;;;;;;祝你横渡大海好运。;
mill_master_bT;Драконья книга мельника;Dragon Book Miller Skill;;;;;;;;龙碾磨手册;
mill_master_bD;Сделать муку и перемолоть кости врагов.;Make flour and grind the bones of enemies.;;;;;;;;制造面粉，磨碎敌人的骨头。;
axe_master_bT;Драконья книга лесоруб;Dragon book skill lumberjack;;;;;;;;龙伐木手册;
axe_master_bD;Сруби дерево и переруби шею врага.;Chop down the tree and chop the neck of the enemy.;;;;;;;;砍倒那棵树，砍掉敌人的脖子。;
cooking_master_bT;Драконья книга  кулинара;Dragon Book Cooking Mastery;;;;;;;;龙烹饪手册;
cooking_master_bD;Феникс с печеными яблоками, пальчики оближешь.;Phoenix with baked apples, lick your fingers.;;;;;;;;凤凰烤苹果，馋到舔手指。;
fish_master_bT;Драконья книга рыбака ;Dragon Book Fishermanship;;;;;;;;龙钓鱼手册;
joiner_master_bT;Драконья книга  плотника;Dragon Book Carpenter Skill;;;;;;;;龙木匠手册;
joiner_master_bD;Оказывается из дерева можно сделать столько чудесных предметов.;It turns out that you can make so many wonderful objects from wood.;;;;;;;;事实证明，你可以用木头制作出这么多奇妙的东西。;
magick_master_bT;Драконья книга мага;Dragon book skill of the magician;;;;;;;;龙法师手册;
magick_master_bD;Магия способная повернуть время вспять.;Magic is able to turn back the clock.;;;;;;;;魔法能让时光倒流。;
smith_master_bT;Драконья книга кузнеца;Dragon Book Blacksmith Skill;;;;;;;;龙锻造手册;
smith_master_bD;Молотом по наковальни, молотом мо мечу, молотом по лецу твоего врага.;Hammer on the anvil, hammer on my sword, hammer on the face of your enemy.;;;;;;;;锤在铁砧上，锤在我的剑上，锤在你敌人的脸上。;
stone_master_bT;Драконья книга камнетеса;Dragon Book Skill Stone Worker;;;;;;;;龙石匠手册;
stone_master_bD;Используй гору как холст.;Use the mountain as a canvas.;;;;;;;;把这座山当作画布。;
sword_man_master_bT;Драконья книга мастерство воина;Dragon Book Warrior Skill;;;;;;;;龙战士手册;
sword_man_master_bD;Лучшие воины своего времени писали эту книгу.;The best warriors of their time wrote this book.;;;;;;;;它们那个时代最好的战士写了这本书。;
dragon_templ_blockT;Стена драконьего храма;Dragon Temple Wall;;;;;;;;龙庙墙;
dragon_templ_blockD;Сделай свой маленький древних храм.;Make your little ancient temple.;;;;;;;;建造你的古庙。;
fish_master_bD;Поймай кракена!;Catch the Kraken!;;;;;;;;抓住海怪！;
Dragon_helm_lvl2T;Драконий шлем;Dragon helm;;;;;;;;龙头盔;
Dragon_helm_lvl2D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样.;
Dragon_helm_lvl3T;Драконий шлем;Dragon helm;;;;;;;;龙头盔;
Dragon_helm_lvl3D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样.;
Dragon_armor_lvl2T;Драконья броня;Dragon Armor;;;;;;;;龙鳞铠;
Dragon_armor_lvl2D;Согреет лучше любой шубы.;Warm better than any coat.;;;;;;;;比任何衣服都要温暖;
Dragon_armor_lvl3T;Драконья броня;Dragon Armor;;;;;;;;龙鳞铠;
Dragon_armor_lvl3D;Согреет лучше любой шубы.;Warm better than any coat.;;;;;;;;比任何衣服都要温暖;
Dragon_boots_lvl2T;Драконьи ботинки;Dragon boots;;;;;;;;龙靴;
Dragon_boots_lvl2D;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;;;;;;行走后留下一堆灰烬。;
Dragon_boots_lvl3T;Драконьи ботинки;Dragon boots;;;;;;;;龙靴;
Dragon_boots_lvl3D;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;;;;;;行走后留下一堆灰烬。;
Dragon_flamethrowerT;Ручной огнемет;Flamethrower;;;;;;;;火焰喷射器;
Dragon_flamethrowerD;Высокотехнологичный огненный хаос в руках воина гнома.;Technologically-advanced flaming chaos in the hands of a warrior dwarf.;;;;;;;;高科技的混乱火焰掌握在矮人战士手中。;
Dragon_sword_soul_reaperT;Жнец душ;Soul Reaper;;;;;;;;灵魂收割者;
Dragon_sword_soul_reaperD;Древнее оружие пустынных жрецов. Наносит повышенный урон нежити, отрезая нити, привязывающие неупокоенных к нашему миру.;An ancient weapon of the desert priests. Deals increased damage against the undead, severing the string that holds them to our world.;;;;;;;;沙漠牧师的古老武器。对亡灵造成更大的伤害，切断他们与我们世界的联系。;
Dragon_enchanting_kristelT;Сильный кристалл зачарования;Strong crystal of enchantment;;;;;;;;强大的魔法水晶;
Dragon_enchanting_kristelD;Сильно улучшает ваши предметы.;Greatly improves your items.;;;;;;;;极大的改善你的物品。;
Dragon_enchanting_kristel_lowT;Кристалл зачарования;Crystal of enchantment;;;;;;;;魔法水晶;
Dragon_enchanting_kristel_lowD;Улучшает ваши предметы.;Improves your items.;;;;;;;;改善你的物品。;
;;;;;;;;;;;
thunderbolt_bow_dragonT;Драконий лук-громобой;Dragon thunderbolt Bow;Łuk Grom;Blitzbogen;Arc-éclair;Arco del fulmine;Arco de rayo;稲妻の弓;천둥번개 활;龙霹雳弓;雷神之弓
thunderbolt_bow_dragonD;Лук, стреляющий молниями на большие расстояния.;This bow shoots lightning bolts a long distance.;;;;;;;;这把弓能远距离射出闪电。;
tunder_bolt_dragonT;Драконья шаровая молния;Dragon tunder bolt;;;;;;;;龙霹雳弓箭筒;
tunder_bolt_dragonD;Усиленный заряд для Лука-громобоя, поражающий больше противников.;Especially powerful Thunderbolt Bow cartridge that deals damage to more enemies.;;;;;;;;特别强大的霹雳弓的箭，对更多敌人造成伤害。;
flame_fuel_heat_dragonT;Драконий жар горна”;Dragon forge Fire;;;;;;;;龙火焰喷射器燃料;
flame_fuel_heat_dragonD;Этот заряд для огнемета состоит из особой смеси. Выжигает все живое!;This flamethrower fuel is a special concoction. It burns everything that’s alive!;;;;;;;;这种火焰喷射器燃料是一种特殊的混合物。它会烧掉所有活着的东西！;
fire_staff_dragonT;Посох “Драконья плеть”;Dragon Whip Staff;;;;;;;;龙法杖;
fire_staff_dragonD;Посох с эссенцией огня. Стреляет огненными шарами без всяких дополнительных зелий.;A staff endowed with the essence of fire. Shoots fireballs without any additional potions.;;;;;;;;具有火的本源的法杖。不需要额外的药剂就可以发射火球。;
dragon_vivern_baby_and_ringT;Виверна и Кольцо;The Wyvern and the Ring;;;;;;;;翼龙魔戒;
dragon_vivern_baby_and_ringD;Виверна и кольцо в одном слоте.;The Wyvern and the ring in one slot.;;;;;;;;翼龙与魔戒合二为一。;
Dragon_teslaT;Башня драконих молний ;Dragon Lightning Tower;;;;;;;;龙特拉斯塔;
Dragon_teslaD;Разит врагов древней силой драконов.;Overwhelmed by enemies with the ancient power of dragon.s;;;;;;;;被古老的龙的力量所压倒。;
Dragon_mana_generatorT;;new item title;;;;;;;;;
Dragon_mana_generatorD;;new item desc;;;;;;;;;
Dragon_trapT;Драконий капкан;Dragon trap;;;;;;;;龙陷阱;
Dragon_trapD;Не отпустит тебе с ногой.;He won’t let you go with your foot.;;;;;;;;它不会让你用脚走过去的。;
Dragon_cellT;Драконья клетка;Dragon cage;;;;;;;;龙笼;
Dragon_cellD;Раскаленные прутья не дадут тебе сбежать;Burning rods will not let you escape;;;;;;;;燃烧的棍子不会让你逃跑;
Dragon_statue_hillT;Драконья статуя лечения;Dragon Statue Heal;;;;;;;;龙之雕像;
Dragon_statue_hillD;Рядом с этой статуей все раны затягиваются как у дракона.;Near this statue, all wounds are healed like a dragon.;;;;;;;;在这座雕像附近，所有的伤口都像龙一样愈合了。;
Dragon_statue_statsT;Драконья статуя навыков;Dragon Statue Skills;;;;;;;;龙之神像;
Dragon_statue_statsD;Все кто поклоняются древним драконам, наделяются толикой их силы.;All who worship the ancient dragons are endowed with a fraction of their strength.;;;;;;;;所有崇拜古代龙的人都被赋予了他们力量的一小部分。;
Dragon_table_stoneT;Драконий каменный стол;Dragon stone table;;;;;;;;龙石桌;
Dragon_table_stoneD;Теплый и гладкий;Warm and smooth;;;;;;;;温暖又光滑。;
Dragon_ladderT;Драконья лестница;Dragon ladder;;;;;;;;龙梯;
Dragon_ladderD;Когда то по ним прислуга драконам отлизала к ним на горы.;Once upon a time, a servant of dragons licked them to the mountains.;;;;;;;;从前，一个龙的仆人把它们舔到山上。;
Dragon_trofy_1T;Драконий трофей;Dragon trophy;;;;;;;;龙杯;
Dragon_trofy_1D;Делает драконов сильнее с каждой головой.;Makes the dragons stronger with each head.;;;;;;;;使龙的每一个头都更强壮。;
Dragon_trofy_2T;Драконий трофей;Dragon trophy;;;;;;;;龙杯;
Dragon_trofy_2D;Делает драконов сильнее с каждой головой.;Makes the dragons stronger with each head.;;;;;;;;使龙的每一个头都更强壮。;
Dragon_vaseT;Ваза с кустом;Vase with a bush;;;;;;;;灌木花瓶;
Dragon_vaseD;Прекрасная ваза с кустом огненных ягод.;A beautiful vase with a bush of fiery berries.;;;;;;;;一个有一丛火红浆果的漂亮花瓶。;
Dragon_hadT;Голова дракона;Dragon head;;;;;;;;龙头;
Dragon_hadD;Голова убитого дракона.;Slain dragon head.;;;;;;;;已被宰杀的龙头。;
had_black_dragonT;Голова черного дракона;Black dragon head;;;;;;;;黑龙头;
had_black_dragonD;Голова убитого дракона.;Slain dragon head.;;;;;;;;已被宰杀的龙头。;
Dragon_mage_tableT;Драконий искатель;Dragon seeker;;;;;;;;寻龙器;
Dragon_mage_tableD;Найдет любую вещь в недрах земли.;He will find any thing in the bowels of the earth.;;;;;;;;它可以在环境里找到任何东西。;
Dragon_boardT;Драконий стеллаж;Dragon shelving;;;;;;;;龙架;
Dragon_boardD;Позволит создать гигантский склад.;Allows you to create a giant warehouse.;;;;;;;;让你创造一个更大的仓库。;
dragon_soul_botlT;Бутыль для души;Bottle for the soul;;;;;;;;灵魂瓶;
dragon_soul_botlD;Позволяет заточить душу дракона.;Allows you to imprison the dragon's soul.;;;;;;;;允许你囚禁龙的灵魂。;
dragon_soul_borl_fullT;Бутыль с душой дракона;The bottle with the soul of a dragon;;;;;;;;龙魂瓶;
dragon_soul_borl_fullD;Бутыль с заточенной в ней душой дракона.;A bottle with the dragon's soul trapped in it.;;;;;;;;一个装着龙的灵魂的瓶子。;
dragon_soulT;Душа дракона;Dragon soul;;;;;;;;龙魂;
dragon_soulD;Душа умершего дракона , свет солнца может вернуть дракона к жизни.;The soul of a dead dragon, the light of the sun can bring the dragon back to life.;;;;;;;;一条死龙的灵魂，太阳之光可以使龙复活。;
gold_dragon_helmT;Золотой шлем дракона;Golden helmet of the dragon;;;;;;;;金龙盔;
gold_dragon_helmD;Голова так блестит!;My head is so shiny!;;;;;;;;我的头真是亮啊！;
gold_dragon_kirasT;Золотой нагрудник дракона;The Golden breastplate of the dragon;;;;;;;;金龙甲;
