key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
GearsT;Износоустойчивые шестеренки;Wear-resistant gears;;;;;;;;耐磨齿轮;
GearsD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
MountingPlateT;Монтажная пластина;Mounting plate;;;;;;;;安装板;
MountingPlateD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
magic_engineT;;;;;;;;;;;
magic_engineD;;;;;;;;;;;
GunpowderT;;;;;;;;;;;
GunpowderD;;;;;;;;;;;
container_coal_ironT;Ковш с углем и железной рудой;Ladle with coal and iron ore;;;;;;;;煤铁矿桶;
container_coal_ironD;;;;;;;;;;;
foundry_machine_corpsT;Корпус литейной машины;Body foundry machine;;;;;;;;铸造机外壳;
foundry_machine_corpsD;Корпус литейной машины, которая позволяет быстро производить слитки.;The body of the foundry machine, which allows for the rapid production of ingots.;;;;;;;;铸造机的机身, 可以快速生产铸锭。;
spell_scrollT;Свиток заклинаний;Spell scroll;;;;;;;;魔法卷轴;
spell_scrollD;;;;;;;;;;;
living_treeT;;;;;;;;;;;
living_treeD;;;;;;;;;;;
DragonEggT;;;;;;;;;;;
DragonEggD;;;;;;;;;;;
black_dragon_eggT;Яйцо черного дракона;Black Dragon Egg;;;;;;;;黑龙蛋;
black_dragon_eggD;Редкий и труднодоступный алхимический ингредиент.;A rare and hard to obtain alchemical ingredient.;;;;;;;;一种稀有且难以获得的炼金材料。;
power_potion_greenT;Магическое зелье Древних Богов;Magic Potion of the Old Gods;;;;;;;;上古之神的魔法药水;
power_potion_greenD;При помощи этого зелья дух и сила старого оружия обретает новую форму.;With this potion, the soul and power of an old weapon takes on a new form.;;;;;;;;使用这种药剂, 上古武器的灵魂和力量将呈现出新的形态。;
power_potion_yellowT;Магическое зелье Древних Богов;Magic Potion of the Old Gods;;;;;;;;上古之神的魔法药水;
power_potion_yellowD;При помощи этого зелья дух и сила старого оружия обретает новую форму.;With this potion, the soul and power of an old weapon takes on a new form.;;;;;;;;使用这种药剂, 上古武器的灵魂和力量将呈现出新的形态。;
power_potion_whiteT;Магическое зелье Древних Богов;Magic Potion of the Old Gods;;;;;;;;上古之神的魔法药水;
power_potion_whiteD;При помощи этого зелья дух и сила старого оружия обретает новую форму.;With this potion, the soul and power of an old weapon takes on a new form.;;;;;;;;使用这种药剂, 上古武器的灵魂和力量将呈现出新的形态。;
power_potion_blackT;Магическое зелье Древних Богов;Magic Potion of the Old Gods;;;;;;;;上古之神的魔法药水;
power_potion_blackD;При помощи этого зелья дух и сила старого оружия обретает новую форму.;With this potion, the soul and power of an old weapon takes on a new form.;;;;;;;;使用这种药剂, 上古武器的灵魂和力量将呈现出新的形态。;
potion_poisonT;Яд;Poison;;;;;;;;毒药;
potion_poisonD;;;;;;;;;;;
MagicCrystalT;Волшебный кристалл;Magic Crystal;;;;;;;;魔法水晶;
MagicCrystalD;;;;;;;;;;;
StoneknifeT;;;;;;;;;;;
StoneknifeD;;;;;;;;;;;
StoneaxeT;;;;;;;;;;;
StoneaxeD;;;;;;;;;;;
IronaxeT;;;;;;;;;;;
IronaxeD;;;;;;;;;;;
heavy_skeleton_axeT;Ржавый топор;Rusty Ax;;;;;;;;生锈斧头;
heavy_skeleton_axeD;;;;;;;;;;;
AxeSteelT;;;;;;;;;;;
AxeSteelD;;;;;;;;;;;
SilverAxeT;;;;;;;;;;;
MithrilAxeT;;;;;;;;;;;
axe_boneT;Костяной топор;Bone Ax;;;;;;;;骨斧;
axe_boneD;;;;;;;;;;;
axe_iceT;Ледяной топор;Ice Ax;;;;;;;;冰斧;
axe_iceD;;;;;;;;;;;
axe_chitinT;Хитиновый топор;Chitin Ax;;;;;;;;甲壳斧;
axe_chitinD;;;;;;;;;;;
axe_bronzeT;Бронзовый топор;Bronze Ax;;;;;;;;青铜斧;
axe_bronzeD;;;;;;;;;;;
axe_alloyT;Топор из сплава;Alloy Ax;;;;;;;;合金斧;
axe_alloyD;;;;;;;;;;;
axe_goldT;Золотой топор;Golden Ax;;;;;;;;黄金斧;
axe_goldD;;;;;;;;;;;
axe_titanT;Титановый топор;Titanium Ax;;;;;;;;钛斧;
axe_titanD;;;;;;;;;;;
StonepickaxeT;;;;;;;;;;;
StonepickaxeD;;;;;;;;;;;
IronpickaxeT;;;;;;;;;;;
IronpickaxeD;;;;;;;;;;;
heavy_skeleton_pickT;Ржавая кирка;Rusty Pickax;;;;;;;;生锈镐;
heavy_skeleton_pickD;;;;;;;;;;;
SteelpickaxeT;;;;;;;;;;;
SteelpickaxeD;;;;;;;;;;;
SilverPickT;;;;;;;;;;;
MithrilPickT;;;;;;;;;;;
pick_boneT;Костяная кирка;Bone Pickax;;;;;;;;骨镐;
pick_boneD;;;;;;;;;;;
pick_iceT;Ледяная кирка;Ice Pickax;;;;;;;;冰镐;
pick_iceD;;;;;;;;;;;
pick_chitinT;Хитиновая кирка;Chitin Pickax;;;;;;;;甲壳镐;
pick_chitinD;;;;;;;;;;;
pick_bronzeT;Бронзовая кирка;Bronze Pickax;;;;;;;;青铜镐;
pick_bronzeD;;;;;;;;;;;
pick_alloyT;Кирка из сплава;Alloy Pickax;;;;;;;;合金镐;
pick_alloyD;;;;;;;;;;;
pick_goldT;Золотая кирка;Golden Pickax;;;;;;;;黄金镐;
pick_goldD;;;;;;;;;;;
pick_titanT;Титановая кирка;Titanium Pickax;;;;;;;;钛镐;
pick_titanD;;;;;;;;;;;
child_of_nature_helmet_mogT;Венок из цветов;Wreath of flowers;;;;;;;;花环;
child_of_nature_helmet_mogD;Подвижность -0.3%.;Slowdown -0.3%.;;;;;;;;速度 -0.3%;
helmet_magicalT;;;;;;;;;;;
helmet_magicalD;Подвижность -0.6%.;Slowdown -0.6%.;;;;;;;;速度 -0.6%;
helmet_magical_twoT;Капюшон мага;Mage's Hooded Hat;;;;;;;;法师连帽帽子;
helmet_magical_twoD;Подвижность -0.9%.;Slowdown -0.9%.;;;;;;;;速度 -0.9%;
WoodHelmetT;;;;;;;;;;;
WoodHelmetD;Подвижность -1.2%.;Slowdown -1.2%.;;;;;;;;速度 -1.2%;
helmet_woodleatherT;;;;;;;;;;;
helmet_woodleatherD;Подвижность -1.5%.;Slowdown -1.5%.;;;;;;;;速度 -1.5%;
LeatherhelmetT;;;;;;;;;;;
LeatherhelmetD;Подвижность -1.8%.;Slowdown -1.8%.;;;;;;;;速度 -1.8%;
HitinHelmetT;;;;;;;;;;;
HitinHelmetD;Подвижность -2.1%.;Slowdown -2.1%.;;;;;;;;速度 -2.1%;
helmet_mineT;;;;;;;;;;;
helmet_mineD;Подвижность -2.4%.;Slowdown -2.4%.;;;;;;;;速度 -2.4%;
RustyskeletonhelmetT;;;;;;;;;;;
RustyskeletonhelmetD;Подвижность -2.7%.;Slowdown -2.7%.;;;;;;;;速度 -2.7%;
big_skeleton_helmetT;Шлем скелета-разрушителя;Skeleton Destroyer's Helm;;;;;;;;骷髅毁灭者头盔;
big_skeleton_helmetD;Подвижность - 3%.;Slowdown -3%.;;;;;;;;速度 -3%;
zombie_helmetT;Шлем зомби;Zombie helmet;;;;;;;;僵尸头盔;
zombie_helmetD;Подвижность -3.3%.;Slowdown -3.3%.;;;;;;;;速度 -3.3%;
zombie_heavy_helmetT;Шлем зомби-бронелома;Zombie Armor-Breaker Helm;;;;;;;;破甲僵尸头盔;
zombie_heavy_helmetD;Подвижность -3.6%.;Slowdown -3.6%.;;;;;;;;速度 -3.6%;
IronhelmetT;;;;;;;;;;;
IronhelmetD;Подвижность -3.9%.;Slowdown -3.9%.;;;;;;;;速度 -3.9%;
ScaledArmorHelmetT;;;;;;;;;;;
ScaledArmorHelmetD;Подвижность -4.2%.;Slowdown -4.2%.;;;;;;;;速度 -4.2%;
Rhinoceros_helmetT;;;;;;;;;;;
Rhinoceros_helmetD;Подвижность -4.5%.;Slowdown -4.5%.;;;;;;;;速度 -4.5%;
dark_elfs_helmetT;Шлем темного эльфа;Dark Elf Helm;;;;;;;;黑暗精灵头盔;
dark_elfs_helmetD;Подвижность -4.8%.;Slowdown -4.8%.;;;;;;;;速度 -4.8%;
SilverHelmetT;;;;;;;;;;;
SilverHelmetD;Подвижность -5.1%.;Slowdown -5.1%.;;;;;;;;速度 -5.1%;
GoldenhelmetT;;;;;;;;;;;
GoldenhelmetD;Подвижность -5.4%.;Slowdown -5.4%.;;;;;;;;速度 -5.4%;
DragonWarriorHelmetT;;;;;;;;;;;
DragonWarriorHelmetD;Подвижность -5.7%.;Slowdown -5.7%.;;;;;;;;速度 -5.7%;
elven_gold_helmetT;Шлем эльфов из рода ведьм;Witch elven helm;;;;;;;;女巫精灵头盔;
elven_gold_helmetD;Подвижность -6%.;Slowdown -6%.;;;;;;;;速度 -6%;
MithrilHelmetT;;;;;;;;;;;
MithrilHelmetD;Подвижность -6.3%.;Slowdown -6.3%.;;;;;;;;速度 -6.3%;
dark_mage_helmetT;Шлем темного мага;Helmet of the Dark Mage;;;;;;;;黑暗法师头盔;
dark_mage_helmetD;Подвижность -6.6%.;Slowdown -6.6%.;;;;;;;;速度 -6.6%;
KnightHelmetT;;;;;;;;;;;
KnightHelmetD;Подвижность -7%.;Slowdown -7%.;;;;;;;;速度 -7%;
orc_skeleton_helmetT;Шлем из костей орка Подземелий;Dungeon orc bone helmet;;;;;;;;地牢兽人骨头盔;
orc_skeleton_helmetD;Подвижность -6.8%, Военное мастерство +5%.;Slowdown -6.8%, Military skill +5%.;;;;;;;;速度 -6.8%, 技能 +5%;
FunnySceletonHelmetT;;;;;;;;;;;
FunnySceletonHelmetD;Подвижность -6.6%, Военное мастерство +5%.;Slowdown -6.6%, Military skill +5%.;;;;;;;;速度 -6.6%, 技能 +5%;
ScreamMaskT;;;;;;;;;;;
ScreamMaskD;Подвижность -6.4%, Военное мастерство +5%.;Slowdown -6.4%, Military skill +5%.;;;;;;;;速度 -6.4%, 技能 +5%;
SantaHatT;;;;;;;;;;;
SantaHatD;Подвижность -6.2%, Военное мастерство +10%.;Slowdown -6.2%, Military skill +10%.;;;;;;;;速度 -6.2%, 技能 +10%;
PiratHatT;;;;;;;;;;;
PiratHatD;Подвижность -6%, Военное мастерство +10%.;Slowdown -6%, Military skill +10%.;;;;;;;;速度 -6%, 技能 +10%;
prodigal_son_helmet_mogT;Повязка отшельника;Headband of the hermit;;;;;;;;隐士头带;
prodigal_son_helmet_mogD;Подвижность -5.8%, Военное мастерство +10%.;Slowdown -5.8%, Military skill +10%.;;;;;;;;速度 -5.8%, 技能 +10%;
cultist_hoodT;Капюшон культиста;Cultist's Hood;;;;;;;;教徒兜帽;
cultist_hoodD;Подвижность -5.6%, Военное мастерство +10%.;Slowdown -5.6%, Military skill +10%.;;;;;;;;速度 -5.6%, 技能 +10%;
goblin_helmet_threeT;Примитивный шлем пещерного гоблина;Primitive cave goblin helm;;;;;;;;上古哥布林头盔;
goblin_helmet_threeD;Подвижность -5.4%, Военное мастерство +15%.;Slowdown -5.4%, Military skill +15%.;;;;;;;;速度 -5.4%, 技能 +15%;
goblin_helmet_twoT;Шлем пещерного гоблина;Cave goblin helm;;;;;;;;哥布林头盔;
goblin_helmet_twoD;Подвижность -5.2%, Военное мастерство +15%.;Slowdown -5.2%, Military skill +15%.;;;;;;;;速度 -5.2%, 技能 +15%;
goblin_helmetT;Шлем пещерного вожака гоблинов;Goblin cave leader helm;;;;;;;;哥布林领袖头盔;
goblin_helmetD;Подвижность -5%, Военное мастерство +15%.;Slowdown -5%, Military skill +15%.;;;;;;;;速度 -5%, 技能 +15%;
helmet_patrol_mountain_brokenT;;;;;;;;;;;
helmet_patrol_mountain_brokenD;Подвижность -4.8%, Военное мастерство +20%.;Slowdown -4.8%, Military skill +20%.;;;;;;;;速度 -4.8%, 技能 +20%;
helmet_patrol_mountainT;;;;;;;;;;;
helmet_patrol_mountainD;Подвижность -4.6%, Военное мастерство +20%.;Slowdown -4.6%, Military skill +20%.;;;;;;;;速度 -4.6%, 技能 +20%;
helmet_patrol_mountain_improvedT;Шлем воина горы;Mountain Warrior's Helmet;;;;;;;;山地战士头盔;
helmet_patrol_mountain_improvedD;Подвижность -4.4%, Военное мастерство +20%.;Slowdown -4.4%, Military skill +20%.;;;;;;;;速度 -4.4%, 技能+20%;
heavy_skeleton_helmetT;Шлем ржавого скелета;Rusty Skeleton Helm;;;;;;;;生锈骷髅头盔;
heavy_skeleton_helmetD;Подвижность -4.2%, Военное мастерство +25%.;Slowdown -4.2%, Military skill +25%.;;;;;;;;速度 -4.2%, 技能 +25%;
Helmet_of_AthenaT;Шлем Афины;Helm of Athena;;;;;;;;雅典娜头盔;
Helmet_of_AthenaD;Подвижность -4%, Военное мастерство +25%.;Slowdown -4%, Military skill +25%.;;;;;;;;速度 -4%, 技能 +25%;
orc_helmetT;Шлем свирепого орка;Savage Orc Helm;;;;;;;;野蛮兽人头盔;
orc_helmetD;Подвижность -3.8%, Военное мастерство +30%.;Slowdown -3.8%, Military skill +30%.;;;;;;;;速度 -3.8%, 技能 +30%;
vampire_guard_helmetT;Ржавый шлем вампира;Rusty vampire helmet;;;;;;;;生锈吸血鬼头盔;
vampire_guard_helmetD;Подвижность -3.6%, Военное мастерство +35%.;Slowdown -3.6%, Military skill +35%.;;;;;;;;速度 -3.6%, 技能 +35%;
vampire_guard_helmet_two_maskT;Почти как у доктора Лектера;Almost like Dr. Lecter;;;;;;;;高仿莱克特医生;
vampire_guard_helmet_two_maskD;Подвижность -3.3%, Военное мастерство +35%.;Slowdown -3.3%, Military skill +35%.;;;;;;;;速度 -3.3%, 技能 +35%;
JasonMaskT;;;;;;;;;;;
JasonMaskD;Подвижность -3%, Военное мастерство +35%.;Slowdown -3%, Military skill +35%.;;;;;;;;速度 -3%, 技能 +35%;
fishman_helmetT;Шлем из морского чудовища;Sea Monster Helmet;;;;;;;;海怪头盔;
fishman_helmetD;Подвижность -2.7%, Военное мастерство +40%.;Slowdown -2.7%, Military skill +40%.;;;;;;;;速度 -2.7%, 技能 +40%;
helmet_guardians_mountain_brokenT;;;;;;;;;;;
helmet_guardians_mountain_brokenD;Подвижность -2.4%, Военное мастерство +45%.;Slowdown -2.4%, Military skill +45%.;;;;;;;;速度 -2.4%, 技能 +45%;
helmet_guardians_mountainT;;;;;;;;;;;
helmet_guardians_mountainD;Подвижность -2.1%, Военное мастерство +45%.;Slowdown -2.1%, Military skill +45%.;;;;;;;;速度 -2.1%, 技能 +45%;
helmet_guardians_mountain_improvedT;Шлем стражи горы;Mountain Guardians' Helmet;;;;;;;;山地守护者头盔;
helmet_guardians_mountain_improvedD;Подвижность -1.8%, Военное мастерство +45%.;Slowdown -1.8%, Military skill +45%.;;;;;;;;速度 -1.8%, 技能 +45%;
paladin_helmetT;Шлем Паладина;Paladin helmet;;;;;;;;圣骑士头盔;
paladin_helmetD;Подвижность -1.5%, Военное мастерство +50%.;Slowdown -1.5%, Military skill +50%.;;;;;;;;速度 -1.5%, 技能 +50%;
ElvenHelmetT;;;;;;;;;;;
ElvenHelmetD;Подвижность -1.2%, Военное мастерство +55%.;Slowdown -1.2%, Military skill +55%.;;;;;;;;速度 -1.2%, 技能 +55%;
stoneheart_helmetT;Шлем гнома Каменное сердце;Helmet of the Dwarf Heart of Stone;;;;;;;;矮人石心头盔;
stoneheart_helmetD;Подвижность -0.9%, Военное мастерство +55%.;Slowdown -0.9%, Military skill +55%.;;;;;;;;速度 -0.9%, 技能 +55%;
dark_boss_helmet_oneT;Шлем Владыки Тьмы;Helmet of the Lord of Darkness;;;;;;;;黑暗领主头盔;
dark_boss_helmet_oneD;Подвижность -0.6%, Военное мастерство +60%.;Slowdown -0.6%, Military skill +60%.;;;;;;;;速度 -0.6%, 技能 +60%;
dark_boss_helmet_twoT;Шлем Владыки Тьмы;Helmet of the Lord of Darkness;;;;;;;;黑暗领主头盔;
dark_boss_helmet_twoD;Подвижность -0.3%, Военное мастерство +60%.;Slowdown -0.3%, Military skill +60%.;;;;;;;;速度 -0.3%, 技能 +60%;
dark_boss_helmet_threeT;Шлем Владыки Тьмы;Helmet of the Lord of Darkness;;;;;;;;黑暗领主头盔;
dark_boss_helmet_threeD;Подвижность 0%, Военное мастерство +60%.;Slowdown 0%, Military skill +60%.;;;;;;;;技能 +60%;
light_cape_cuirassT;Примитивная накидка;Primitive cape;;;;;;;;原始斗篷;
light_cape_cuirassD;;;;;;;;;;;
child_of_nature_cuirass_mogT;Одежда из листьев;Leaf clothes;;;;;;;;树叶外衣;
child_of_nature_cuirass_mogD;;;;;;;;;;;
cuirass_magicalT;;;;;;;;;;;
cuirass_magicalD;;;;;;;;;;;
cuirass_magical_twoT;Наряд мага;Mage's Cuirass;;;;;;;;法师胸甲;
cuirass_magical_twoD;;;;;;;;;;;
WoodArmorT;;;;;;;;;;;
WoodArmorD;;;;;;;;;;;
cuirass_woodleatherT;;;;;;;;;;;
cuirass_woodleatherD;;;;;;;;;;;
LeathershirtT;;;;;;;;;;;
LeathershirtD;;;;;;;;;;;
HitinArmorT;;;;;;;;;;;
HitinArmorD;;;;;;;;;;;
cuirass_mineT;Кираса шахтера;Miner's cuirass;;;;;;;;矿工胸甲;
cuirass_mineD;;;;;;;;;;;
big_skeleton_cuirassT;Кираса скелета-разрушителя;Cuirass of the Skeleton Destroyer;;;;;;;;骷髅毁灭者胸甲;
big_skeleton_cuirassD;;;;;;;;;;;
zombie_cuirassT;Кираса зомби;Zombie Cuirass;;;;;;;;僵尸胸甲;
zombie_cuirassD;;;;;;;;;;;
zombie_heavy_cuirassT;Кираса зомби-бронелома;Cuirass of the Zombie Armor-Breaker;;;;;;;;破甲僵尸胸甲;" "
zombie_heavy_cuirassD;;;;;;;;;;;
SteelChainArmorT;;;;;;;;;;;
SteelChainArmorD;;;;;;;;;;;
ScaledArmorCuirassT;;;;;;;;;;;
ScaledArmorCuirassD;;;;;;;;;;;
Rhinoceros_chestT;;;;;;;;;;;
Rhinoceros_chestD;;;;;;;;;;;
dark_elfs_cuirassT;Кираса темного эльфа;Dark Elf Cuirass;;;;;;;;黑暗精灵胸甲;
dark_elfs_cuirassD;;;;;;;;;;;
SilverArmorT;;;;;;;;;;;
SilverArmorD;;;;;;;;;;;
GoldarmorT;;;;;;;;;;;
GoldarmorD;;;;;;;;;;;
DragonWarriorCuirassT;;;;;;;;;;;
DragonWarriorCuirassD;;;;;;;;;;;
elven_gold_cuirassT;Кираса эльфов из рода ведьм;Cuirass of the elven witches;;;;;;;;精灵女巫胸甲;
elven_gold_cuirassD;;;;;;;;;;;
MithrilArmorT;;;;;;;;;;;
MithrilArmorD;;;;;;;;;;;
dark_mage_cuirassT;Кираса темного мага;Cuirass of the Dark Mage;;;;;;;;黑暗法师胸甲;
dark_mage_cuirassD;;;;;;;;;;;
KnightArmorT;;;;;;;;;;;
KnightArmorD;;;;;;;;;;;
orc_skeleton_cuirassT;Кираса из костей орка Подземелий;Dungeon orc bone cuirass;;;;;;;;地牢兽人骨胸甲;
orc_skeleton_cuirassD;Закалка +5%.;Harding +5%.;;;;;;;;生命 +5%;
FunnySceletonCuirassT;;;;;;;;;;;
FunnySceletonCuirassD;Закалка +10%.;Harding +10%.;;;;;;;;生命 +10%;
SantaArmorT;;;;;;;;;;;
SantaArmorD;Закалка +15%.;Harding +15%.;;;;;;;;生命 +15%;
prodigal_son_cuirass_mogT;Одежда отшельника;Hermit clothes;;;;;;;;隐士衣服;
prodigal_son_cuirass_mogD;Закалка +20%.;Harding +20%.;;;;;;;;生命 +20%;
cultist_vestT;Жилет культиста;Cultist's Vest;;;;;;;;教徒背心;
cultist_vestD;Закалка +25%.;Harding +25%.;;;;;;;;生命 +25%;
goblin_cuirass_twoT;Кираса пещерного гоблина;Cuirass of the cave goblin;;;;;;;;哥布林胸甲;
goblin_cuirass_twoD;Закалка +30%.;Harding +30%.;;;;;;;;生命 +30%;
goblin_cuirassT;Кираса пещерного вожака гоблинов;Cuirass of the cavernous goblin leader;;;;;;;;哥布林领袖胸甲;
goblin_cuirassD;Закалка +35%.;Harding +35%.;;;;;;;;生命 +35%;
cuirass_patrol_mountain_brokenT;;;;;;;;;;;
cuirass_patrol_mountain_brokenD;Закалка +40%.;Harding +40%.;;;;;;;;生命 +40%;
cuirass_patrol_mountainT;;;;;;;;;;;
cuirass_patrol_mountainD;Закалка +45%.;Harding +45%.;;;;;;;;生命 +45%;
cuirass_patrol_mountain_improvedT;Кираса воина горы;Mountain Warrior's Cuirass;;;;;;;;山地战士胸甲;
cuirass_patrol_mountain_improvedD;Закалка +50%.;Harding +50%.;;;;;;;;生命 +50%;
heavy_skeleton_cuirassT;Кираса ржавого скелета;Rusted Skeleton Cuirass;;;;;;;;生锈骷髅胸甲;
heavy_skeleton_cuirassD;Закалка +55%.;Harding +55%.;;;;;;;;生命 +55%;
Armor_of_AthenaT;Кираса Афины;Cuirass of Athena;;;;;;;;雅典娜胸甲;
Armor_of_AthenaD;Закалка +60%.;Harding +60%.;;;;;;;;生命 +60%;
orc_cuirassT;Кираса свирепого орка;Savage Orc Cuirass;;;;;;;;野蛮兽人胸甲;
orc_cuirassD;Закалка +65%.;Harding +65%.;;;;;;;;生命 +65%;
vampire_guard_cuirass_twoT;Ржавая кираса вампира;Rusted vampire cuirass;;;;;;;;生锈吸血鬼胸甲;
vampire_guard_cuirass_twoD;Закалка +70%.;Harding +70%.;;;;;;;;生命 +70%;
vampire_guard_cuirassT;Кираса вампира;Vampire cuirass;;;;;;;;吸血鬼胸甲;
vampire_guard_cuirassD;Закалка +75%.;Harding +75%.;;;;;;;;生命 +75%;
fishman_armorT;Броня из морского чудовища;Sea Monster Armor;;;;;;;;海怪盔甲;
fishman_armorD;Закалка +80%.;Harding +80%.;;;;;;;;生命 +80%;
cuirass_guardians_mountain_brokenT;;;;;;;;;;;
cuirass_guardians_mountain_brokenD;Закалка +85%.;Harding +85%.;;;;;;;;生命 +85%;
cuirass_guardians_mountainT;;;;;;;;;;;
cuirass_guardians_mountainD;Закалка +90%.;Harding +90%.;;;;;;;;生命 +90%;
